0.259785,0.300643,0.257757,0.143542,0.424483,0.265076,0.187559,0.189911,0.436869,0.290017,0.103060,0.151123,0.081987,0.043870,0.178128,0.126611,0.068207,0.196439,0.139838,0.092976,0.250445,0.336354,0.227302,0.121092,0.471703,0.204238,0.213339,0.348797,0.285630,0.212908
0.565999,0.392289,0.551517,0.418452,0.338178,0.256181,0.253046,0.395179,0.263636,0.097936,0.245265,0.096645,0.222824,0.166695,0.092837,0.107159,0.057298,0.259519,0.084117,0.027749,0.602277,0.388060,0.575178,0.413095,0.317837,0.200163,0.214617,0.614777,0.194362,0.071166
0.401297,0.330402,0.400180,0.256797,0.510698,0.315686,0.343486,0.401938,0.439899,0.168492,0.131378,0.094082,0.110116,0.077527,0.153891,0.094541,0.071035,0.207047,0.085664,0.054109,0.403059,0.372601,0.370985,0.238596,0.550948,0.205790,0.302796,0.520275,0.250739,0.164961
0.256472,0.269530,0.260383,0.137561,0.476393,0.344212,0.181373,0.139115,0.379293,0.443555,0.023610,0.243060,0.068181,0.016115,0.281708,0.230555,0.122753,0.221065,0.196826,0.176547,0.176094,0.290245,0.195229,0.081252,0.487552,0.228590,0.191933,0.253265,0.195348,0.252853
0.215770,0.159959,0.213254,0.110032,0.426198,0.284093,0.157849,0.128926,0.382828,0.376158,0.060438,0.311130,0.041040,0.026257,0.354795,0.291916,0.140227,0.283008,0.147999,0.159515,0.154038,0.204158,0.141292,0.066998,0.418213,0.179013,0.143530,0.237732,0.150601,0.172504
0.644564,0.663510,0.665538,0.475716,0.588336,0.790197,0.823336,0.755467,0.675253,0.425442,0.222524,0.272896,0.236300,0.148335,0.163477,0.445579,0.179722,0.315211,0.216103,0.182766,0.633582,0.730277,0.668310,0.402035,0.619626,0.815758,0.749760,0.910653,0.497142,0.452315
0.711297,0.412242,0.714602,0.567762,0.484517,0.539906,0.573571,0.746024,0.385859,0.240944,0.324642,0.075075,0.320596,0.230479,0.076996,0.194956,0.090303,0.278651,0.102690,0.100231,0.701885,0.367271,0.720106,0.501819,0.384534,0.350448,0.379872,0.835739,0.231815,0.201364
0.501160,0.180588,0.492088,0.344263,0.413830,0.295442,0.231373,0.395278,0.342929,0.242839,0.177005,0.102170,0.183669,0.101416,0.133052,0.210878,0.086035,0.256488,0.159959,0.098365,0.429740,0.199893,0.420788,0.256046,0.358780,0.246345,0.198802,0.500344,0.234772,0.158402
0.300961,0.207981,0.295073,0.159703,0.498059,0.411386,0.273899,0.347266,0.445455,0.401432,0.063190,0.144935,0.036658,0.011502,0.172723,0.251585,0.100505,0.261981,0.189368,0.128111,0.270366,0.297708,0.230340,0.105609,0.544344,0.438348,0.388019,0.586942,0.386753,0.305392
0.327465,0.233683,0.312211,0.193383,0.141284,0.103705,0.052109,0.066551,0.380303,0.113732,0.015933,0.047737,0.029920,0.013500,0.054220,0.081849,0.025010,0.091532,0.074267,0.041465,0.256492,0.260661,0.252951,0.131169,0.149706,0.168146,0.110543,0.213814,0.219594,0.143907
0.294808,0.525533,0.278557,0.167296,0.318498,0.100209,0.064948,0.102783,0.282323,0.123842,0.035090,0.218750,0.026245,0.020131,0.137845,0.043786,0.038131,0.122201,0.078629,0.032240,0.228388,0.591951,0.203596,0.110032,0.381232,0.076656,0.111022,0.206357,0.173270,0.084219
0.463770,0.307406,0.452699,0.315080,0.325178,0.222195,0.197329,0.326839,0.420707,0.113311,0.176534,0.227811,0.158884,0.113071,0.149913,0.168594,0.066313,0.303845,0.183317,0.089763,0.431163,0.380597,0.399871,0.264157,0.301327,0.179110,0.185144,0.506529,0.245417,0.113079
0.378106,0.339871,0.357335,0.231898,0.285095,0.104718,0.045619,0.096372,0.229798,0.056866,0.026254,0.155764,0.024926,0.018375,0.065302,0.043042,0.020879,0.121841,0.159819,0.021599,0.286375,0.367804,0.258429,0.146702,0.220102,0.070495,0.061901,0.197732,0.213089,0.038108
0.439159,0.411566,0.440260,0.289841,0.576600,0.334090,0.421509,0.396670,0.408586,0.323505,0.166250,0.242397,0.103850,0.095103,0.300744,0.265179,0.147449,0.224664,0.455029,0.182835,0.348630,0.351546,0.315205,0.194160,0.471703,0.178818,0.267093,0.359794,0.230830,0.160632
